model,sb,day,time,trial,acc
ecnn2,1,5,AM,6,0.3454312553373185
ecnn2,1,5,AM,7,0.4407790143084261
ecnn2,1,5,AM,8,0.305
ecnn2,1,5,AM,9,0.4721649484536082
ecnn2,1,5,AM,10,0.4163851351351352
ecnn2,1,5,AM,11,0.467956469165659
ecnn2,1,5,AM,12,0.3173948887056884
ecnn2,1,5,PM,1,0.5086887835703001
ecnn2,1,5,PM,2,0.3730327520204169
ecnn2,1,5,PM,3,0.5052546483427648
ecnn2,1,5,PM,4,0.4720939991607218
ecnn2,1,5,PM,5,0.4988216810683425
ecnn2,1,5,PM,6,0.4405450041288192
ecnn2,1,5,PM,7,0.4833800560672808
ecnn2,1,5,PM,8,0.41244813278008297
ecnn2,1,5,PM,9,0.4986138613861386
ecnn2,1,5,PM,10,0.4097621000820345
ecnn2,1,5,PM,11,0.5022150624244865
ecnn2,1,5,PM,12,0.475583864118896
ecnn3,1,1,AM,1,0.9615686274509804
ecnn3,1,1,AM,2,0.9339188624006692
ecnn3,1,1,AM,3,0.6961722488038278
ecnn3,1,1,AM,4,0.92643391521197
ecnn3,1,1,AM,5,0.9517736149860502
ecnn3,1,1,AM,6,0.9406276505513148
ecnn3,1,1,AM,7,0.9533932951757972
ecnn3,1,1,AM,8,0.955602536997886
ecnn3,1,1,AM,9,0.7616707616707616
ecnn3,1,1,AM,10,0.9219771241830066
ecnn3,1,1,AM,11,0.9494179044560418
ecnn3,1,1,AM,12,0.9499791579824928
ecnn3,1,1,PM,1,0.9698157585260682
ecnn3,1,1,PM,2,0.9661229611041404
ecnn3,1,1,PM,3,0.740234375
ecnn3,1,1,PM,4,0.9533250722841801
ecnn3,1,1,PM,5,0.9525707453168591
ecnn3,1,1,PM,6,0.9671862182116489
ecnn3,1,1,PM,7,0.9393697646589548
ecnn3,1,1,PM,8,0.9389632107023412
ecnn3,1,1,PM,9,0.7150259067357513
ecnn3,1,1,PM,10,0.9432653061224492
ecnn3,1,1,PM,11,0.967121090617482
ecnn3,1,1,PM,12,0.9437869822485208
ecnn3,1,2,AM,1,0.6837190418189201
ecnn3,1,2,AM,2,0.619624217118998
ecnn3,1,2,AM,3,0.6814337494965768
ecnn3,1,2,AM,4,0.5826771653543307
ecnn3,1,2,AM,5,0.6184477854530679
ecnn3,1,2,AM,6,0.6093100581878637
ecnn3,1,2,AM,7,0.6839171974522293
ecnn3,1,2,AM,8,0.6236559139784946
ecnn3,1,2,AM,9,0.689916301315265
ecnn3,1,2,AM,10,0.6250530785562632
ecnn3,1,2,AM,11,0.7027134876296888
ecnn3,1,2,AM,12,0.6104699093157461
ecnn3,1,2,PM,1,0.6262135922330098
ecnn3,1,2,PM,2,0.6144879267277269
ecnn3,1,2,PM,3,0.6482452601855587
ecnn3,1,2,PM,4,0.6081025217031831
ecnn3,1,2,PM,5,0.636734693877551
ecnn3,1,2,PM,6,0.6244725738396625
ecnn3,1,2,PM,7,0.642091727389627
ecnn3,1,2,PM,8,0.6346074804767776
ecnn3,1,2,PM,9,0.665050505050505
ecnn3,1,2,PM,10,0.6899383983572895
