model,sb,day,time,trial,stability
etcn0,1,2,PM,6,0.7973828619670748
etcn0,1,2,PM,7,0.8027444253859348
etcn0,1,2,PM,8,0.8096217105263158
etcn0,1,2,PM,9,0.8172999191592563
etcn0,1,2,PM,10,0.8192276088742809
etcn0,1,2,PM,11,0.8095803642121933
etcn0,1,2,PM,12,0.8172798677139314
etcn0,1,3,AM,1,0.8070103092783505
etcn0,1,3,AM,2,0.7717198581560284
etcn0,1,3,AM,3,0.7965299684542586
etcn0,1,3,AM,4,0.7923710446467274
etcn0,1,3,AM,5,0.8450304259634889
etcn0,1,3,AM,6,0.8119478334034498
etcn0,1,3,AM,7,0.8018867924528301
etcn0,1,3,AM,8,0.8070477009024495
etcn0,1,3,AM,9,0.79303193695562
etcn0,1,3,AM,10,0.8083482944344704
etcn0,1,3,AM,11,0.8185876623376623
etcn0,1,3,AM,12,0.8033635187580854
etcn0,1,3,PM,1,0.7893411665967268
etcn0,1,3,PM,2,0.7829823807477438
etcn0,1,3,PM,3,0.7653910149750416
etcn0,1,3,PM,4,0.7655849701110162
etcn0,1,3,PM,5,0.756734693877551
etcn0,1,3,PM,6,0.7474315068493151
etcn0,1,3,PM,7,0.7829995913363302
etcn0,1,3,PM,8,0.7825904121110177
etcn0,1,3,PM,9,0.787343951786483
etcn0,1,3,PM,10,0.7882805816937554
etcn0,1,3,PM,11,0.7885480572597137
etcn0,1,3,PM,12,0.7997410444540354
etcn0,1,4,AM,1,0.8175092478421702
etcn0,1,4,AM,2,0.8124440465532676
etcn0,1,4,AM,3,0.8044831880448319
etcn0,1,4,AM,4,0.8306244653550043
etcn0,1,4,AM,5,0.8556577369052379
etcn0,1,4,AM,6,0.8361994840928633
etcn0,1,4,AM,7,0.8662814692529921
etcn0,1,4,AM,8,0.8176369863013698
etcn0,1,4,AM,9,0.8350934199837531
etcn0,1,4,AM,10,0.816482582837723
etcn0,1,4,AM,11,0.8470833333333333
etcn0,1,4,AM,12,0.8050314465408805
etcn0,1,4,PM,1,0.8521097910692339
etcn0,1,4,PM,2,0.7906289573659773
etcn0,1,4,PM,3,0.8358596795149416
etcn0,1,4,PM,4,0.8021523178807947
etcn0,1,4,PM,5,0.8315617334423548
etcn0,1,4,PM,6,0.8199918732222674
etcn0,1,4,PM,7,0.8383797054009821
etcn0,1,4,PM,8,0.8133002891367204
etcn0,1,4,PM,9,0.8274590163934427
etcn0,1,4,PM,10,0.8239074550128535
etcn0,1,4,PM,11,0.8236514522821576
etcn0,1,4,PM,12,0.8055908513341804
etcn0,1,5,AM,1,0.8019303399076794
etcn0,1,5,AM,2,0.8110068259385665
etcn0,1,5,AM,3,0.7941878980891719
etcn0,1,5,AM,4,0.7981140162880411
etcn0,1,5,AM,5,0.7853107344632768
etcn0,1,5,AM,6,0.7718923536950022
etcn0,1,5,AM,7,0.7797216699801193
etcn0,1,5,AM,8,0.7724051688203418
etcn0,1,5,AM,9,0.8077557755775577
